year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,DEUDA,UNIDAD ADMINISTRATIVA ESPECIAL DE LA AERONÁUTICA CIVIL,1212600000.0,2412,24,78.05,1553619474.695708
2013,INVERSION,UNIDAD ADMINISTRATIVA ESPECIAL DE LA AERONÁUTICA CIVIL,454754397562.0,2412,24,78.05,582644968048.6868
2013,FUNCIONAMIENTO,AGENCIA NACIONAL DE INFRAESTRUCTURA,79156720000.0,2413,24,78.05,101417962844.33057
2013,DEUDA,AGENCIA NACIONAL DE INFRAESTRUCTURA,296770295000.0,2413,24,78.05,380230999359.385
2013,INVERSION,AGENCIA NACIONAL DE INFRAESTRUCTURA,2818364111869.0,2413,24,78.05,3610972596885.33
2013,FUNCIONAMIENTO,PROCURADURÍA GENERAL DE LA NACIÓN,426007000000.0,2501,25,78.05,545812940422.8059
2013,INVERSION,PROCURADURÍA GENERAL DE LA NACIÓN,34352000000.0,2501,25,78.05,44012812299.807816
2013,FUNCIONAMIENTO,DEFENSORÍA DEL PUEBLO,302406000000.0,2502,25,78.05,387451633568.2255
2013,INVERSION,DEFENSORÍA DEL PUEBLO,15382000000.0,2502,25,78.05,19707879564.381805
2013,FUNCIONAMIENTO,CONTRALORÍA GENERAL DE LA REPÚBLICA,386614000000.0,2601,26,78.05,495341447789.8783
2013,INVERSION,CONTRALORÍA GENERAL DE LA REPÚBLICA,70071000000.0,2601,26,78.05,89777065983.34401
2013,FUNCIONAMIENTO,FONDO DE BIENESTAR SOCIAL DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA,52864000000.0,2602,26,78.05,67730941704.03587
2013,INVERSION,FONDO DE BIENESTAR SOCIAL DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA,6200000000.0,2602,26,78.05,7943625880.845613
2013,FUNCIONAMIENTO,RAMA JUDICIAL,2342136081106.0,2701,27,78.05,3000814966183.216
2013,INVERSION,RAMA JUDICIAL,331910058937.0,2701,27,78.05,425253118433.0557
2013,FUNCIONAMIENTO,REGISTRADURÍA NACIONAL DEL ESTADO CIVIL,345766000000.0,2801,28,78.05,443005765534.9135
2013,INVERSION,REGISTRADURÍA NACIONAL DEL ESTADO CIVIL,46489944685.0,2801,28,78.05,59564310935.29789
2013,FUNCIONAMIENTO,FONDO ROTATORIO DE LA REGISTRADURÍA,16878000000.0,2802,28,78.05,21624599615.63101
2013,INVERSION,FONDO ROTATORIO DE LA REGISTRADURÍA,29459000000.0,2802,28,78.05,37743754003.84369
2013,FUNCIONAMIENTO,FONDO SOCIAL DE VIVIENDA DE LA REGISTRADURÍA NACIONAL DEL ESTADO CIVIL,9513000000.0,2803,28,78.05,12188340807.174889
2013,FUNCIONAMIENTO,FISCALÍA GENERAL DE LA NACIÓN,1905322069125.0,2901,29,78.05,2441155758007.6875
2013,INVERSION,FISCALÍA GENERAL DE LA NACIÓN,143935072868.0,2901,29,78.05,184413930644.45868
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,136805310246.0,2902,29,78.05,175279065017.2966
2013,INVERSION,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,36330000000.0,2902,29,78.05,46547085201.793724
2013,FUNCIONAMIENTO,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,133450392000.0,3201,32,78.05,170980643177.45035
2013,INVERSION,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,140576000000.0,3201,32,78.05,180110185778.34723
2013,FUNCIONAMIENTO,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM",38264100000.0,3202,32,78.05,49025112107.62332
2013,INVERSION,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM",22550000000.0,3202,32,78.05,28891736066.62396
2013,FUNCIONAMIENTO,FONDO NACIONAL AMBIENTAL,19735290000.0,3204,32,78.05,25285445227.418324
2013,INVERSION,FONDO NACIONAL AMBIENTAL,35760000000.0,3204,32,78.05,45816784112.74824
2013,FUNCIONAMIENTO,CORPORACIÓN AUTÓNOMA REGIONAL DE LOS VALLES DEL SINÚ Y SAN JORGE (CVS),2351270000.0,3208,32,78.05,3012517616.9122357
2013,FUNCIONAMIENTO,CORPORACIÓN AUTÓNOMA REGIONAL DEL QUINDÍO (CRQ),3930300000.0,3209,32,78.05,5035618193.465727
2013,FUNCIONAMIENTO,CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL URABÁ (CORPOURABÁ),2618525000.0,3210,32,78.05,3354932735.426009
2013,INVERSION,CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE DEL URABÁ (CORPOURABÁ),1000000000.0,3210,32,78.05,1281229980.7815504
2013,FUNCIONAMIENTO,CORPORACIÓN AUTÓNOMA REGIONAL DE CALDAS (CORPOCALDAS),2662415000.0,3211,32,78.05,3411165919.282511
2013,FUNCIONAMIENTO,CORPORACIÓN AUTÓNOMA REGIONAL PARA EL DESARROLLO SOSTENIBLE DEL CHOCO (CODECHOCO),1467200000.0,3212,32,78.05,1879820627.8026907
2013,INVERSION,CORPORACIÓN AUTÓNOMA REGIONAL PARA EL DESARROLLO SOSTENIBLE DEL CHOCO (CODECHOCO),657000000.0,3212,32,78.05,841768097.3734785
2013,FUNCIONAMIENTO,CORPORACIÓN AUTÓNOMA REGIONAL DEL TOLIMA (CORTOLIMA),1506500000.0,3214,32,78.05,1930172966.0474055
